,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,334,FIDS - Display 334,Checkin 59 T2E,2E,Checkin,172.17.70.86,China,HP,Thin Client Elite t655,8CG42730XB,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INDPAV586,,"43""",2012,70,DVI DAN VGA,,DVI,,,,,
46,335,FIDS - Display 335,Checkin 60 T2E,2E,Checkin,172.17.70.86,,,,,,,,Win10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INNG5G111,,"43""",2012,70,DVI DAN VGA,,VGA,,,,,
47,336,FIDS - Display 336,Checkin 61 T2E,2E,Checkin,172.17.70.87,China,HP,Thin Client Elite t655,8CG437277V,"VGA, DP",60GB,8GB,Win10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INJL5G116,,"43""",2012,70,DVI DAN VGA,,HDMI,,,,,
48,337,FIDS - Display 337,Checkin 62 T2E,2E,Checkin,172.17.70.87,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INDP5G274,,"43""",2012,70,DVI DAN VGA,,VGA,,,,,
49,338,FIDS - Display 338,Checkin 63 T2E,2E,Checkin,172.17.70.88,China,CGEAR,D945GSEJT,BTJT14500099,"3 USB, 1 LAN, 1 DVI, 1 VGA",320GB,4GB,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INMF5G131,,"43""",2012,70,VGA &DVI,,DVI,,,,,
50,339,FIDS - Display 339,Checkin 64 T2E,2E,Checkin,172.17.70.88,,,,,,,,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INMFAV587,,"43""",2012,70,VGA &DVI,,VGA,,,,,
51,340,FIDS - Display 340,Checkin 65 T2E,2E,Checkin,172.17.70.89,China,HP,Thin Client Elite t655,8CG40935Z8,"1 VGA, 1 DP",60GB,8GB,Win 10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INDP5G130,,"43""",2012,70,VGA DAN HDMI ,,HDMI,,,,,
52,341,FIDS - Display 341,Checkin 66 T2E,2E,Checkin,172.17.70.89,,,,,,,,Win 10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INKHAV589,,"43""",2012,70,VGA DAN HDMI ,,VGA,,,,,
53,342,FIDS - Display 342,Checkin 67 T2E,2E,Checkin,172.17.70.90,China,HP,Thin Client t630,8CN0480K3H,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea Selatan,LG,43SM5KE-BJ,111INXJ5G306,,"43""",2021,80,HDMI,ü,DP TO HDMI,,,,,
54,343,FIDS - Display 343,Checkin 68 T2E,2E,,,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INQU5G124,,"43""",2021,80,HDMI,,VGA TO HDMI,,,,,
55,344,FIDS - Display 344,Checkin 69 T2E,2E,Checkin,172.17.70.91,China,HP,Thin Client t640,8CN23001v5,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea Selatan,LG,43SM5KE-BJ,111INEW5G108,,"43""",2023,82,DMI ,,HDMI,,,,,
56,345,FIDS - Display 345,Checkin 70 T2E,2E,,,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INFK5G115,,"43""",2022,120,VGA DAN HDMI ,,VGA,,,,,
57,346,FIDS - Display 346,Checkin 71 T2E,2E,Checkin,172.17.70.92,China,LENOVO,ThinkEdge SE10,PF63GF7E,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INUB5G134,,"43""",2022,120,VGA DAN HDMI ,,VGA,,,,,
58,347,FIDS - Display 347,Checkin 72 T2E,2E,,,,,,,,,,,,,,Korea Selatan,LG,43SM5kE-B,111INWA5G137,,"43""",2021,115,VGA DAN HDMI ,,HDMI,,,,,
59,348,FIDS - Display 348,General Boarding T2D Depan Checkin 25,2E,Checkin,172.17.70.51,China,HP,Thin Client t640,8CN1010LQL,"2 DP, 7 USB Type A, 1 LAN",60 GB,8GB,Win 10,2012,70,,Korea Selatan,LG,,805KCEAKY180,,"65""",2018,100,VGA,,DP to DP,,,,,
60,349,FIDS - Display 349,General Checkin Taman Kiri T2DE,2E,Checkin,172.17.70.52,China,HP,Thin Client Elite t655,8CG40936GC,"1 VGA, 2 DP",60GB,8GB,Win 10,2024,130,,Korea ,LG,65UH5C,805KCKJKY157,,"55""",2018,100,HDMI TO HDMI,ü,VGA to HDMI,,,,,
61,350,FIDS - Display 350,General Checkin Taman Kanan T2DE,2E,Checkin,172.17.70.53,China,HP,Thin Client Elite t655,8CG40935ZP,"1 VGA, 2 DP",60GB,8GB,Win10,2024,130,,Korea ,LG,65UH5C,805KCMRKY179,,"55""",2018,100,DP TO DP,,DP to DP,,,,,
62,351,FIDS - Display 351,General Checkin Kiri T2EF,2E,Checkin,172.17.70.56,China,INTELNUC,NUC7i3BNH,G8BN82100H8T,1 HDMI,152GB,4GB,Lubuntu,2018,100,,Korea ,LG,65UH5C,805KCCVKY171,,"65""",2018,100,HDMI,,HDMI to HDMI,,,,,
63,352,FIDS - Display 352,General Checkin Kanan T2EF,2E,Checkin,172.17.70.57,China,LENOVO,ThinkEdge SE10,PF63GW8C,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Lubuntu,2012,70,,Korea Selatan,LG,65UH5C,805KCGWKY175,,"65""",2018,100,VGA HDMI DVI ,ü,VGA to HDMI,,,,,
64,353,FIDS - Display 353,General Boarding T2DE Standing kiri,2E,Boarding,172.17.70.54,China,HP,Thin Client t640,8CG40936G6,"2 DP, 7 USB Type A, 1 LAN",,,Win 10,2017,95,,Korea Selatan,LG,,805KCFTKY187,,65'',2018,100,VGA HDMI DVI ,,DP to DP,,,,,
65,354,FIDS - Display 354,General Boarding T2E Standing kanan,2E,Boarding,172.17.70.55,China,HP,Thin Client t640,8CN1010LQP,"2 DP, 7 USB Type A, 1 LAN",60GB,3GB,Win 10,2020,110,,Korea Selatan,LG,65UH5C,805KCXMKY162,,65'',2018,100,VGA HDMI DVI ,,DP to DP,,,,,
66,355,FIDS - Display 355,General Boarding T2E Depan se Checkin 72,2E,Boarding,172.17.70.58,China,HP,Thin Client Elite t655,8CG5121FFX,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea Selatan,LG,65UH5C,805KCPYKY168,,65'',2018,100,VGA HDMI DVI ,,HDMI to HDMI,,,,,
67,356,FIDS - Display 356,General Boarding Shoping Arcade Kanan Atas T2E,2E,Shoping Arcade,172.17.70.139,China,HP,Thin Client t630,8CN83504LO,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30 GB,4GB,Win10,2018,100,,Korea Selatan,LG,55UH5C,807KCEAKY940,,"55""",2018,100,DP TO HDMI,,DP to DP,,,,,
68,357,FIDS - Display 357,General Boarding Shoping Arcade Kanan Bawah T2E,2E,Shoping Arcade,,,,,,,,,,,,,Korea Selatan,LG,55UH5C,807KCYQKY906,,"55""",2018,100,DP TO HDMI,,DP to HDMI,,,,,
69,358,FIDS - Display 358,General Boarding Shoping Arcade Atas T2DE KIRI,2E,Shoping Arcade,172.17.70.50,China,HP,Thin Client t640,8CN91608J7,,,,Win10,2018,100,,Korea Selatan,LG,,807KCDGKY938,,"55""",2018,100,VGA,,DP TO DP,,,,,
70,359,FIDS - Display 359,General Boarding Shoping Arcade Bawah T2DE KIRI,2E,Shoping Arcade,172.17.70.50,,,,,,,,Win10,2018,100,,CHINA,BOE,LDV55AAAXX,(D550134AA2Z0600111),,"55""",2024,130,VGA,,HDMI,,,,,
71,360,FIDS - Display 360,General Boarding T2E SCP 2 kiri,2E,Boarding,172.17.70.47,China,LENOVO,ThinkEdge SE10,PF63PB6D,"1 VGA, 1 DVI, 1 LAN",320 GB,1 GB,Lubuntu,2012,70,,Korea Selatan,LG,65UH5C-BF,805KCMRKY155,,65'',2018,100,DVI,,DVI to DVI,,,,,
72,361,FIDS - Display 361,General Boarding T2E SCP 2 kanan,2E,Boarding,172.17.70.46,China,HP,Thin Client t640,8CN0480K43,"2 DP, 1 LAN",60 GB,8 GB,Win 10,2020,110,,Korea Selatan,LG,65UH5C-BF,805KCWCKY161,,65'',2018,100,VGA,,DP to DP,,,,,
73,360,FIDS - Display 360,General Boarding T2E SCP 2 kiri,2E,Boarding,172.17.70.47,China,LENOVO,ThinkEdge SE10,PF63PB6D,"1 VGA, 1 DVI, 1 LAN",320 GB,1 GB,Lubuntu,#NAME?,2023,125,,Korea Selatan,LG,65UH5C-BF,805KCMRKY155,65'',2018,2018,100,DVI,DVI to DVI,,,,,
74,361,FIDS - Display 361,General Boarding T2E SCP 2 kanan,2E,Boarding,172.17.70.46,China,HP,Thin Client t640,8CN0480K43,"2 DP, 1 LAN",60 GB,8 GB,Win 10,#NAME?,2019,105,,Korea Selatan,LG,65UH5C-BF,805KCWCKY161,65'',2018,2018,100,VGA,DP to DP,,,,,
75,362,FIDS - Display 362,Gate E1 T2E,2E,Boarding,172.17.70.21,China,LENOVO,ThinkEdge SE10,PF63L35P,"1 DVI, 1 VGA ,3 USB, 1LAN",148GB,2GB,Lubuntu,#NAME?,2023,125,,Korea Selatan,BOE ,DV55A-A,D550134AA2Z0600005,55'',2018,2018,100,VGA,HDMI to HDMI,,,,,
76,363,FIDS - Display 363,Gate E2 T2E,2E,Boarding,172.17.70.22,China,LENOVO,ThinkEdge SE10,PF63PB7A,"1 DVI, 1 VGA ,3 USB, 1LAN",148GB,2GB,Lubuntu,#NAME?,2023,125,,Korea Selatan,BOE ,SA55UM-MA02,MBBG0207A00008,"55""",2025,2025,135,DP to HDMI,HDMI to HDMI,,,,,
77,364,FIDS - Display 364,Gate E3 T2E,2E,Boarding,172.17.70.23,China,HP,Thin Client t640,8CN05302HR,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,#NAME?,2019,105,,Korea Selatan,LG,55UH5C-BF,807KCVUKY975,"55""",2018,2018,100,VGA,DP to DP,,,,,
78,365,FIDS - Display 365,Gate E4 T2E,2E,Boarding,172.17.70.24,China,HP,Thin Client t640,8CN05302HB,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,#NAME?,2019,105,,Korea Selatan,BOE,DV55A-A,D550134AA471600028,"55""",2018,2018,100,VGA,DP to DP,,,,,
79,366,FIDS - Display 366,Gate E5 T2E,2E,Boarding,172.17.70.25,China,HP,Thin Client t640,8CN05302JB,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,#NAME?,2019,105,,Korea Selatan,LG,55UH5C-BF,807KCHEKY953,"55""",2018,2018,100,HDMI,DP to DP,,,,,
80,367,FIDS - Display 367,Gate E6 T2E,2E,Boarding,172.17.70.26,China,HP,Thin Client t640,8CN05302HC,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,#NAME?,2019,105,,Korea Selatan,LG,55UH5C-BF,807KCTBKY961,"55""",2018,2018,100,VGA,DP to DP,,,,,
81,368,FIDS - Display 368,Gate E7 T2E,2E,Boarding,172.17.70.27,China,LENOVO,ThinkEdge SE10,PF63GSWJ,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,#NAME?,2023,125,,Korea Selatan,LG,55UH5C-BF,807KCZPKY981,"55""",2018,2018,100,VGA,HDMI to HDMI,,,,,
82,371,FIDS - Display 371,Gawangan 3 T2E,2E,Baggage,172.17.70.45,China,HP,Thin Client t640,8CG4372787 ,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea Selatan,LG,65UH5C-BF,805KCNLKY183,,"65""",2019,105,,,DVI to DVI,,,,,
83,372,FIDS - Display 372,Gawangan 4 T2E,2E,Baggage,172.17.70.29,China,HP,Thin Client Elite t655,8CG5063T7Z,,,,Win 10,2021,115,,Korea Selatan,LG,65UH5E-BJ,909KCEAPW220,,"65""",2019,105,,,Signage,,,,,
84,373,FIDS - Display 373,Baggage Breakdown 5 T2E,2E,Breakdown,172.17.70.20,China,CGEAR,D945GSEJT,Filled By O.E.M,"VGA, DVI",160 GB,1 GB,Lubuntu,2016,90,,Korea Selatan,LG,,43LT340C0TB,,"43""",2016,90,,ü,VGA TO HDMI,,,,,
85,374,FIDS - Display 374,Baggage Breakdown 6 T2E,2E,Breakdown,172.17.70.39,China,CGEAR,D945GSEJT,Filled By O.E.M,"VGA, DVI",500 GB,1 GB,Lubuntu,2016,90,,Korea Selatan,LG,43UN731C0TC,109INFK1U923,,"43""",2018,100,,ü,VGA TO HDMI,,,,,
86,375,FIDS - Display 375,Baggage Breakdown 7 T2E,2E,Breakdown,172.17.70.40,China,HP,Thin Client t640,8CN0480K3T,DP,60 GB,8 GB,Win 10,2020,110,,Korea Selatan,Sharp,LC-32LE347I,9641814B09420,,"32""",2012,70,,,DP TO HDMI,,,,,
87,376,FIDS - Display 376,Baggage Breakdown 8 T2E,2E,Breakdown,172.17.70.13,China,HP,Thin Client Elite t655,8CG3452KDH,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2025,135,,Korea Selatan,LG,32LM551CBTA,204INKH0N069,,"32""",2013,75,,,HDMI - HDMI,,,,,
88,377,FIDS - Display 377,Baggage Breakdown 9 T2E,2E,Breakdown,172.17.70.12,China,HP,Thin Client Elite t655,8CG5080SD6,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2025,135,,Korea Selatan,LG,32LM550BPTA,105INRC8Q142,,"32""",2014,80,,ü,VGA TO HDMI,,,,,
89,378,FIDS - Display 378,Baggage Breakdown 10 T2E,2E,Breakdown,172.17.70.11,China,CGEAR,D945GSEJT,Filled By O.E.M,"VGA, DVI",1 TB,1 GB,Lubuntu,2015,85,,Korea Selatan,LG,43LJ500T-TA,707INCN1U003,,"43""",2015,85,,ü,VGA TO HDMI,,,,,
90,379,FIDS - Display 379,General Breakdown T2E,2E,Breakdown,172.17.70.32,China,HP,Thin Client t640,8CN0480K39,,,,Win 10,,-9990,,Jepang,Sony,,5001287,,"65""",2019,105,,,DP TO HDMI,,,,,
91,380,FIDS - Display 380,Baggage Claim E5 Kiri T2E,2E,Baggage,172.17.70.93,China,HP,Thin Client Elite t655,8CG42730XP,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2024,130,,Korea Selatan,LG,43LT340C0TB,003INVM6K231,,"43""",2020,110,"HDMI , DP",,HDMI,,,,,
92,381,FIDS - Display 381,Baggage Claim E5 Kanan T2E,2E,Baggage,,,,,,,,,,,,,Korea Selatan,LG,43LT340C0TB,003INQU6K212,,"43""",2020,110,,,HDMI to HDM,,,,,
93,382,FIDS - Display 382,Baggage Claim E6 Kiri T2E,2E,Baggage,172.17.70.94,China,HP,Thin Client Elite t655,8CG437278C,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2021,115,,Korea Selatan,LG,43LT340C0TB,003INWA6K225,,"43""",2020,110,DP,,DVI TO DVI,,,,,
94,383,FIDS - Display 383,Baggage Claim E6 Kanan T2E,2E,Baggage,,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INEW1M132,,"43""",2020,110,,,VGA TO HDMI,,,,,
95,384,FIDS - Display 384,Baggage Claim E7 Kiri T2E,2E,Baggage,172.17.70.95,China,HP,Thin Client t630,8CN83504J7,"2 DP, 7 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,203INUB1M158,,"43""",2020,110,HDMI,ü,VGA to hdmi ,,,,,
96,385,FIDS - Display 385,Baggage Claim E7 Kanan T2E,2E,Baggage,,,,,,,,,Win10,,,,Korea Selatan,LG,43SM5KE-BJ,203INJL1L716,,"43""",2020,110,,, DP TO HDMI,,,,,
97,386,FIDS - Display 386,Baggage Claim E8 Kiri T2E,2E,Baggage,172.17.70.14,China,HP,Thin Client t630,8CN83504LD,"2 DP, 7 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,203INHZ24465,,"43""",2020,110,DP,,DP TO HDMI,,,,,
98,387,FIDS - Display 387,Baggage Claim E8 Kanan T2E,2E,Baggage,,,,,,,,,Win10,,,,Korea Selatan,LG,43SM5KE-BJ,110INQU8D804,,"43""",2020,110,,,DP TO HDMI,,,,,
99,388,FIDS - Display 388,Baggage Claim E9 Kiri T2E,2E,Baggage,172.17.70.16,China,HP,Thin Client t630,8CN8210B9H,"2 DP, 7 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,110INRC8D870,,"43""",2020,110,HDMI - VGA,ü,VGA TO HDMI,,,,,
100,389,FIDS - Display 389,Baggage Claim E9 Kanan T2E,2E,Baggage,,,,,,,,,Win10,,,,Korea Selatan,LG,43LT340C0TB,003INYD6K162,,"43""",2020,110,HDMI - VGA,,DP TO HDMI,,,,,
101,390,FIDS - Display 390,Baggage Claim E10 Kiri T2E,2E,Baggage,172.17.70.18,China,HP,Thin Client Elite t655,8CG42730XD,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,130,,Korea Selatan,LG,43LT340C0TB,003INGQ6K167,,"43""",2020,110,HDMI - VGA,,HDMI TO HDMI,,,,,
102,391,FIDS - Display 391,Baggage Claim E10 Kanan T2E,2E,Baggage,,,,,,,,,,,,,Korea Selatan,LG,43LT340C0TB,003INCN6K163,,"43""",2020,110,HDMI - VGA,ü,VGA TO HDMI,,,,,
103,392,FIDS - Display 392,Baggage Claim E5 New T2E (Perangkat sudah terima unit cctv),,,172.16.16.76,China,HP,Thin Client t640,8CN2490GQV,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,,,,Korea Selatan,LG,55UQ751C0SF,211INCN7G603,,"55""",2022,120,,,DP TO HDMI,,,,,
104,393,FIDS - Display 393,Baggage Claim E6 New T2E (Perangkat sudah terima unit cctv),,,172.16.16.77,China,HP,Thin Client t640,8CN2490GQJ,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,,,,Korea Selatan,LG,55UQ751C0SF,211INUB7G614,,"55""",2022,120,,,DP TO HDMI,,,,,
105,394,FIDS - Display 394,Baggage Claim E7 New T2E (Perangkat sudah terima unit cctv),,,172.16.16.78,China,HP,Thin Client t640,8CN2490GPR,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,,,,Korea Selatan,LG,55UQ751C0SF,211INRC7G622,,"55""",2022,120,,,DP TO HDMI,,,,,
106,395,FIDS - Display 395,Baggage Claim E8 New T2E (Perangkat sudah terima unit cctv),,,172.16.16.102,China,HP,Thin Client t640,8CN2490GQ2,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,,,,Korea Selatan,LG,55UQ751C0SF,211INCN7G627,,"55""",2022,120,,,DP TO HDMI,,,,,
107,396,FIDS - Display 396,Baggage Claim E9 New T2E (Perangkat sudah terima unit cctv),,,172.16.16.103,China,HP,Thin Client t640,8CN2490GQM,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,,,,Korea Selatan,LG,,211INZY7G629,,"55""",2022,120,,,DP TO HDMI,,,,,
108,397,FIDS - Display 397,Baggage Claim E10 New T2E (Perangkat sudah terima unit cctv),,,172.16.16.104,China,HP,Thin Client t640,8CN2490GQD,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,,,,Korea Selatan,LG,,211INBS7G621,,"55""",2022,120,,,DP TO HDMI,,,,,
109,398,FIDS - Display 398,General Arrival Meeting Point Bawah Kiri T2E,2E,Arrival,172.17.70.33,China,INTELNUC,NUC5CPYH,G6BN82100GWC,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea Selatan,LG,65UH5C,805KCDGKY178,,"65""",2018,100,HDMI,,HDMI TO HDMI,,,,,
110,399,FIDS - Display 399,General Arrival Meeting Point Bawah T2E Kanan,2E,Arrival,172.17.70.34,China,LENOVO,ThinkEdge SE10,PF63FTH5,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,65UH5C,805KCXMKY210,,"65""",2018,100,HDMI - VGA,,HDMI TO HDMI,,,,,
111,400,FIDS - Display 400,Arrival Belakang 7 Icon DE Kiri T2E ,2E,Arrival,172.17.70.35,China,HP,Thin Client t640,8CN1010LQR,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2018,100,,Korea,LG,75XF3C,807KCUKND390,,"75""",2018,100,DP to HDMI,,DP,,,,,
112,401,FIDS - Display 401,Arrival Belakang 7 Icon DE Kanan T2E ,2E,Arrival,172.17.70.36,China,HP,Thin Client t640,8CN1010LQB,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2012,70,,Korea,LG,75XF3C,807KCBDND397,,"75""",2018,100,HDMI & VGA,,DP,,,,,
113,402,FIDS - Display 402,Arrival Samping Informasi Kiri T2E,2E,Arrival,172.17.70.37,China,HP,Thin Client t630,8CN14906DK,"2 DP, 7 USB Type A, 1 LAN",30GB,4GB,Win 10,2012,70,,Korea,LG,75XF3C,807KCWCND393,,"75""",2018,100,HDMI,,,,,,,
114,403,FIDS - Display 403,Arrival Samping Informasi Kanan T2E,2E,Arrival,172.17.70.38,China,INTELNUC,NUC7i3BNH,G6BN82100HCL,1 HDMI,128GB,4GB,Lubuntu,2012,70,,Korea,BOE,SR75AA,MBVD07010016,,"75""",2022,100,HDMI,,,,,,,
115,404,FIDS - Display 404,Kanopi_Skytrain T2EF,2E,Skytrain,172.17.70.140,China,HP,Thin Client Elite t655,8CG437278K,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win 10,2024,100,,China,BOE,SR65AA,MBVE05300003,,"65""",2024,100,HDMI,ü,HDMI,,,,,
,405,FIDS - Display 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,406,FIDS - Display 406,General Checkin SCP Gate 5 Atas T2F,2F,Departure,172.17.70.223,China,DELL,Optiplex 3000 Thin Client Celeron,55Q3GZ3,,250 GB,8 GB,Win 10,2020,110,,Korea,LG,65UH5C-BF,807KCUKNW070,,"65""",2018,100,VGA,,DP TO HDMI,1,,,,
2,407,FIDS - Display 407,General Checkin SCP Gate 5 Bawah T2F,2F,Departure,172.17.70.223,,,,,,,,,,,,Korea,LG,65UH5C-BF,807KCZPP1821,,"65""",2018,100,VGA,,DP TO HDMI,2,,,,
3,408,FIDS - Display 408,Departure Gate 5 T2F,2F,Departure,172.17.70.221,China,LENOVO,ThinkEdge 12NLS08R00,PF63G2VJ,"VGA, DVI",500 GB,1 GB,Lubuntu,2016,90,,China,BOE,SR75AA,MBVE05300012,,"75""",2024,100,PortDisplay,ü,VGA TO HDMI,3,,,,
4,409,FIDS - Display 409,General Checkin EF kiri T2F,2F,Checkin,172.17.70.222,China,HP,Thin Client Elite t655,8CG5063T85,"3 DP, 6 USB Type A, 1 LAN",60 GB,8GB,Windows 10,2023,100,,Korea Selatan,LG,65UH5C,805KCXMKY186,,"65""",2018,100,"DVI, HDMI, DP",ü,VGA TO HDMI,4,,,,
5,410,FIDS - Display 410,General Checkin kanan T2F,2F,Checkin,172.17.70.224,China,HP,Thin Client Elite t655, 8CG5063T7N,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win 10,2024,100,,Korea Selatan,LG,65UH5C,805KCJZKY188,,"65""",2018,100,HDMI,ü,VGA TO HDMI,5,,,,
6,411,FIDS - Display 411,Checkin 73 T2F,2F,Checkin,172.17.70.201,China,HP,Thin Client t630,8CN83504HS,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2017,95,,Korea Selatan,LG,43UP751C0TC,209INCNAP475,,"43""",2020,110,"VGA, DVI & HDMI",,HDMI TO HDMI,6,,,,
7,412,FIDS - Display 412,Checkin 74 T2F,2F,Checkin,172.17.70.201,,,,,,,,,,,,Korea Selatan,LG,43UP751C0TC,209INVMAP399,,"43""",2020,110,"VGA, DVI & HDMI",,VGA TO VGA,7,,,,
8,413,FIDS - Display 413,Checkin 75 T2F,2F,Checkin,172.17.70.202,China,HP,Thin Client t630,8CN83504KR,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30 GB,4 GB,Win 10,2017,95,,Korea Selatan,LG,43UP751C0TC,209INVMAP447,,"43""",2020,110,"VGA, DVI & HDMI",,HDMI TO HDMI,8,,,,
9,414,FIDS - Display 414,Checkin 76 T2F,2F,Checkin,172.17.70.202,China,,,,,,,,,,,Korea Selatan,LG,43UP751C0TC,209INDPAP482,,"43""",2020,110,"VGA, DVI & HDMI",,VGA TO VGA,9,,,,
10,415,FIDS - Display 415,Checkin 77 T2F,2F,Checkin,172.17.70.203,China,Cgear,NEO Z64-W10,Filled By O.E.M,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",4 GB,1 GB,Lubuntu,2016,90,,Korea Selatan,LG,43LT340C0TB,003INVM6K159,,"43""",2020,110,VGA & DVI,ü,VGA TO HDMI,10,,,,
11,416,FIDS - Display 416,Checkin 78 T2F,2F,Checkin,172.17.70.203,China,,,,,,,,,,,Korea Selatan,LG,43LT340C0TB,003INHZ6K233,,"43""",2020,110,VGA & DVI,ü,DVI TO DVI,11,,,,
12,417,FIDS - Display 417,Checkin 79 T2F,2F,Checkin,172.17.70.204,China,HP,Thin Client t630,8CN91608H5,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30 GB,4 GB,Win 10,2017,95,,Korea Selatan,LG,43SM5KE-BJ,106INVM3B255,,"43""",2020,110,"VGA, DVI & HDMI",,DP TO HDMI,12,,,,
13,418,FIDS - Display 418,Checkin 80 T2F,2F,Checkin,172.17.70.204,China,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,110INYD8D994,,"43""",2020,110,"VGA, DVI & HDMI",,DP TO HDMI,13,,,,
14,419,FIDS - Display 419,Checkin 81 T2F,2F,Checkin,172.17.70.205,Taiwan,Fujitech,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",500 GB,2 GB,Lubuntu,2016,90,,Korea Selatan,LG,43SM5KE-BJ,106INGQ3B191,,"43""",2020,110,"VGA, DVI & HDMI",,HDMI TO HDMI,14,,,,
15,420,FIDS - Display 420,Checkin 82 T2F,2F,Checkin,172.17.70.205,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,106INMF3B243,,"43""",2020,110,"VGA, DVI & HDMI",,VGA TO VGA,15,,,,
16,421,FIDS - Display 421,Checkin 83 T2F,2F,Checkin,172.17.70.206,Taiwan,Fujitech,Smart PC,MPX0978Z1240988A,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,106INGQ3B239,,"43""",2020,110,VGA & HDMI,,HDMI TO HDMI,16,,,,
17,422,FIDS - Display 422,Checkin 84 T2F,2F,Checkin,172.17.70.206,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,106INUB3B246,,"43""",2020,110,VGA & HDMI,,VGA TO VGA,17,,,,
